class,precision,recall,fscore,total
0,0.6753246753246753,0.9454545454545454,0.7878787878787878,55
1,0.9236641221374046,0.968,0.9453124999999999,125
2,0.7272727272727273,0.5333333333333333,0.6153846153846153,15
3,0.875,0.9333333333333333,0.9032258064516129,15
4,0.7714285714285715,0.54,0.6352941176470589,50
5,0.8166666666666667,0.8909090909090909,0.8521739130434782,55
6,0.8333333333333334,0.3333333333333333,0.47619047619047616,15
7,1.0,1.0,1.0,15
8,0.8076923076923077,0.84,0.8235294117647058,50
9,0.8803418803418803,0.824,0.8512396694214877,125
