class,precision,recall,fscore,total
0,0.7758620689655172,0.8181818181818182,0.7964601769911505,55
1,0.9193548387096774,0.912,0.9156626506024096,125
2,0.4666666666666667,0.4666666666666667,0.4666666666666667,15
3,0.5555555555555556,0.6666666666666666,0.606060606060606,15
4,0.6222222222222222,0.56,0.5894736842105264,50
5,0.7017543859649122,0.7272727272727273,0.7142857142857142,55
6,0.7777777777777778,0.4666666666666667,0.5833333333333334,15
7,0.9230769230769231,0.8,0.8571428571428571,15
8,0.8113207547169812,0.86,0.8349514563106797,50
9,0.7734375,0.792,0.782608695652174,125
