class,precision,recall,fscore,total
0,0.8333333333333334,0.9090909090909091,0.8695652173913043,55
1,0.9603174603174603,0.968,0.9641434262948207,125
2,0.6666666666666666,0.5333333333333333,0.5925925925925926,15
3,0.8235294117647058,0.9333333333333333,0.8749999999999999,15
4,0.6956521739130435,0.64,0.6666666666666666,50
5,0.864406779661017,0.9272727272727272,0.8947368421052632,55
6,1.0,0.6,0.7499999999999999,15
7,1.0,1.0,1.0,15
8,0.7704918032786885,0.94,0.8468468468468469,50
9,0.9043478260869565,0.832,0.8666666666666667,125
